source,category,action,destination,note
/fantasy/start-or-sit-allen-robinson-primed-to-shine-against-lowly-cardinals,misc,review,,manual review — does not match WP-style pattern
/fantasy/start-or-sit-week-two-big-ben-bounces-back-and-lockett-soars,misc,review,,manual review — does not match WP-style pattern
/fantasy/teddy-bridgewaters-best-landing-spot-for-2019,misc,review,,manual review — does not match WP-style pattern
/fantasy/the-fantasy-football-impact-of-antonio-brown-rumors,misc,review,,manual review — does not match WP-style pattern
/fantasy/the-steelers-can-sign-this-perfect-ab-replacement,misc,review,,manual review — does not match WP-style pattern
/fantasy/theres-reason-to-be-concerned-about-todd-gurley,misc,review,,manual review — does not match WP-style pattern
/fantasy/tier-based-drafting-is-a-way-to-absolutely-crush-your-draft,misc,review,,manual review — does not match WP-style pattern
/fantasy/tight-end-values-to-help-you-nail-fantasys-most-frustrating-position,misc,review,,manual review — does not match WP-style pattern
/fantasy/use-this-once-popular-running-back-draft-strategy-to-win-your-league,misc,review,,manual review — does not match WP-style pattern
/fantasy/waiver-wire-adds-for-week-12,misc,review,,manual review — does not match WP-style pattern
/fantasy/waiver-wire-adds-for-week-13,misc,review,,manual review — does not match WP-style pattern
/fantasy/waiver-wire-adds-for-week-14,misc,review,,manual review — does not match WP-style pattern
/fantasy/waiver-wire-adds-for-week-15,misc,review,,manual review — does not match WP-style pattern
/fantasy/waiver-wire-finds-for-week-three,misc,review,,manual review — does not match WP-style pattern
/fantasy/waiver-wire-rookie-running-back-bonanza,misc,review,,manual review — does not match WP-style pattern
/fantasy/why-jamison-crowder-is-a-must-buy-in-fantasy-football,misc,review,,manual review — does not match WP-style pattern
/featured,misc,review,,manual review — does not match WP-style pattern
/featured/from-court-to-victory-lane-michael-jordan-adds-to-growing-legacy,misc,review,,manual review — does not match WP-style pattern
/fire,misc,review,,manual review — does not match WP-style pattern
/fire/chicago-fire-slight-name-and-badge-change-are-ridiculous,misc,review,,manual review — does not match WP-style pattern
/fire/chicago-fire-troll-white-sox-after-stadium-announcement,misc,review,,manual review — does not match WP-style pattern
/fire/chicago-fires-awaited-return-to-soldier-field,misc,review,,manual review — does not match WP-style pattern
/fire/new-chicago-fire-signing-luka-stojanovic-will-be-an-under-the-radar-star,misc,review,,manual review — does not match WP-style pattern
/fire/test-post,misc,review,,manual review — does not match WP-style pattern
/go-draftkings-sportsbook-tn,misc,review,,manual review — does not match WP-style pattern
/go-fanduel-sportsbook-il,misc,review,,manual review — does not match WP-style pattern
/homepage-gossip,misc,review,,manual review — does not match WP-style pattern
/homepage-life-news-pro-2,misc,review,,manual review — does not match WP-style pattern
/homepage-magazine-pro,misc,review,,manual review — does not match WP-style pattern
/homepage-today-news-pro,misc,review,,manual review — does not match WP-style pattern
/homepage-week-pro,misc,review,,manual review — does not match WP-style pattern
/illinois-sports-betting,misc,review,,manual review — does not match WP-style pattern
/jobs,misc,review,,manual review — does not match WP-style pattern
/las-vegas,misc,review,,manual review — does not match WP-style pattern
/lasvegas,misc,review,,manual review — does not match WP-style pattern
/lasvegas/2018-mma-awards-2,misc,review,,manual review — does not match WP-style pattern
